Time,Experiment,Phase,Event,Detail,Action
16:59:03.575,EyeTracking,SettingUI,Experiment_Start,EyeTracking,
16:59:03.575,EyeTracking,SettingUI,Phase_Start,SettingUI,
17:02:03.396,EyeTracking,SettingUI,Hover_Enter,Button: demoFlickerSetting,Hovering
17:02:03.408,EyeTracking,SettingUI,Hover_Exit,Button: demoFlickerSetting,Hover_Exit
17:02:03.551,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
17:02:03.765,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
17:02:03.820,EyeTracking,SettingUI,Hover_Enter,Button: addHzFlicker,Hovering
17:02:03.820,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.832,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.843,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.854,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.865,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.876,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.888,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.899,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.910,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.921,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.932,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.943,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.954,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.965,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.976,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:03.988,EyeTracking,SettingUI,Hover_Exit,Button: addHzFlicker,Hover_Exit
17:02:03.988,EyeTracking,SettingUI,Hover_Enter,Button: addTimeDwell,Hovering
17:02:03.988,EyeTracking,SettingUI,Dwell_Start,Button: addTimeDwell,Dwell_Started
17:02:03.999,EyeTracking,SettingUI,Hover_Exit,Button: addTimeDwell,Hover_Exit
17:02:03.999,EyeTracking,SettingUI,Hover_Enter,Button: addHzFlicker,Hovering
17:02:03.999,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.011,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.021,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.032,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.043,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.054,EyeTracking,SettingUI,Hover_Exit,Button: addHzFlicker,Hover_Exit
17:02:04.120,EyeTracking,SettingUI,Hover_Enter,Button: addHzFlicker,Hovering
17:02:04.120,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.131,EyeTracking,SettingUI,Hover_Exit,Button: addHzFlicker,Hover_Exit
17:02:04.142,EyeTracking,SettingUI,Hover_Enter,Button: addHzFlicker,Hovering
17:02:04.142,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.156,EyeTracking,SettingUI,Hover_Exit,Button: addHzFlicker,Hover_Exit
17:02:04.198,EyeTracking,SettingUI,Hover_Enter,Button: addHzFlicker,Hovering
17:02:04.198,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.210,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.221,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.231,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.241,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.255,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.264,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.276,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.287,EyeTracking,SettingUI,Dwell_Start,Button: addHzFlicker,Dwell_Started
17:02:04.298,EyeTracking,SettingUI,Hover_Exit,Button: addHzFlicker,Hover_Exit
