Time,Experiment,Phase,Event,Detail,Action
17:28:58.619,EyeTracking,SettingUI,Experiment_Start,EyeTracking,
17:28:58.619,EyeTracking,SettingUI,Phase_Start,SettingUI,
17:29:43.806,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
17:29:45.802,EyeTracking,SettingUI,Action_Executed,Button: demoIntroScene; Action: ButtonAction,Execution_Proceeding
17:29:46.267,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
17:29:46.790,EyeTracking,SettingUI,Hover_Enter,Button: Intro-Next-UI,Hovering
17:29:46.790,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.802,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.812,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.823,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.835,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.846,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.858,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.867,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.879,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.890,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.900,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.912,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.924,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.933,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.945,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.956,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.968,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.980,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:46.990,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.000,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.013,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.023,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.034,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.045,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.056,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.068,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.078,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.090,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.101,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.114,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.123,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.135,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.145,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.157,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.167,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.178,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.190,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.201,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.211,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.223,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.234,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.245,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.257,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.267,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.277,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.291,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.301,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.313,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.323,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.334,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.345,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.356,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.367,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.377,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.390,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.401,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.411,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.423,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.434,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.445,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.458,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.468,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.478,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.490,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.501,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.511,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.523,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.533,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.546,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.556,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.567,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.580,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.590,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.600,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.612,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.623,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.633,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.647,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.658,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.667,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.678,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.690,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.700,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.712,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.723,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.734,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.745,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.756,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.769,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.777,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.789,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.800,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.813,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.824,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.834,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.844,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.856,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.867,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.878,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.889,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.900,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.911,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.922,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.934,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.945,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.957,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.967,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.978,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:47.990,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.000,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.011,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.023,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.035,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.045,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.057,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.066,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.077,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.090,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.101,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.112,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.123,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.134,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.146,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.157,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.167,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.178,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.191,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.199,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.211,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.223,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.235,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.245,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.255,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.266,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.278,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.290,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.300,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.311,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.323,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.334,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.345,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.357,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.367,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.378,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.389,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.400,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.412,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.422,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.434,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.445,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.455,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.465,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.477,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.489,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.500,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.511,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.522,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.533,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.545,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.555,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.567,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.578,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.588,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.600,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.611,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.622,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.634,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.644,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.655,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.667,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.677,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.690,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.700,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.712,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.722,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.734,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.745,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.756,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.767,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.777,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.789,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:29:48.789,EyeTracking,SettingUI,Dwell_Complete,Button: Intro-Next-UI,Dwelling_Completed
17:29:48.789,EyeTracking,SettingUI,Flicker_Start,Intro-Next-UI,Flicker_Start
17:29:50.799,EyeTracking,SettingUI,Flicker_End,Button: Intro-Next-UI,Flicker_End
17:29:50.799,EyeTracking,SettingUI,Action_Executed,Button: Intro-Next-UI; Action: ButtonAction,Execution_Proceeding
17:29:50.816,EyeTracking,SettingUI,Hover_Enter,Button: nextDwellSetting,Hovering
17:29:50.816,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.825,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.832,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.840,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.850,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.862,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.873,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.884,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.895,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.907,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.924,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.935,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.943,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.951,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.960,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.972,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.985,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:50.995,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.006,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.017,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.027,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.039,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.050,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.061,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.073,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.083,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.093,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.106,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.117,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.128,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.139,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.149,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.161,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.172,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.184,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.194,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.205,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.217,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.228,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.238,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.249,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.260,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.272,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.282,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.294,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.306,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.318,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.329,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.341,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.352,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.364,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.373,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.384,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.398,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.407,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.419,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.431,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.441,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.453,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.465,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.476,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.487,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.499,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.510,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.520,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.531,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.542,EyeTracking,SettingUI,Dwell_Start,Button: nextDwellSetting,Dwell_Started
17:29:51.555,EyeTracking,SettingUI,Hover_Exit,Button: nextDwellSetting,Hover_Exit
