Time,Experiment,Phase,Event,Detail,Action
12:38:06.433,EyeTracking,SettingUI,LSLCommMgr,Resolving Stream,BCIBackend (type: 'BCIResult')
12:38:06.448,EyeTracking,SettingUI,LSL_Connected,BCIBackend,BCI_Stream_Open
12:38:06.448,EyeTracking,SettingUI,LSL_Logger,2026-07-03 12:38:06.448;EyeTracking;SettingUI;LSL_Connected;BCIBackend;BCI_Stream_Open,MarkerSent
12:38:06.457,EyeTracking,SettingUI,Experiment_Start,EyeTracking,
12:38:06.457,EyeTracking,SettingUI,Phase_Start,SettingUI,
12:38:13.703,EyeTracking,SettingUI,LSL_Logger,2026-07-03 12:38:13.703;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
12:38:13.703,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
12:38:13.736,EyeTracking,SettingUI,LSL_Logger,2026-07-03 12:38:13.736;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
12:38:13.736,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
12:38:14.881,EyeTracking,SettingUI,LSL_Logger,2026-07-03 12:38:14.881;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
12:38:14.881,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
12:38:14.914,EyeTracking,SettingUI,LSL_Logger,2026-07-03 12:38:14.914;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
12:38:14.914,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
12:38:15.786,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
12:38:15.786,EyeTracking,SettingUI,LSL_Logger,2026-07-03 12:38:15.786;EyeTracking;SettingUI;Hover_Enter;Button: demoIntroScene;Hovering,MarkerSent
12:38:16.848,EyeTracking,SettingUI,LSL_Logger,2026-07-03 12:38:16.848;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
12:38:16.848,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
12:38:17.006,EyeTracking,SettingUI,LSL_Logger,2026-07-03 12:38:17.006;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
12:38:17.006,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
12:38:17.210,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
12:38:17.211,EyeTracking,SettingUI,LSL_Logger,2026-07-03 12:38:17.210;EyeTracking;SettingUI;Hover_Exit;Button: demoIntroScene;Hover_Exit,MarkerSent
12:38:17.234,EyeTracking,SettingUI,LSL_Logger,2026-07-03 12:38:17.234;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
12:38:17.234,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
12:38:17.290,EyeTracking,SettingUI,LSL_Logger,2026-07-03 12:38:17.290;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
12:38:17.290,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
