Time,Experiment,Phase,Event,Detail,Action
17:04:21.169,EyeTracking,SettingUI,Experiment_Start,EyeTracking,
17:04:21.169,EyeTracking,SettingUI,Phase_Start,SettingUI,
17:04:36.492,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
17:04:36.546,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
17:04:36.557,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
17:04:36.657,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
17:04:36.679,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
17:04:36.689,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
17:04:36.701,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
17:04:36.723,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
17:04:36.756,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
17:04:38.755,EyeTracking,SettingUI,Action_Executed,Button: demoIntroScene; Action: ButtonAction,Execution_Proceeding
17:04:39.633,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
17:04:39.633,EyeTracking,SettingUI,Hover_Enter,Button: Intro-Next-UI,Hovering
17:04:39.633,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.644,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.655,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.666,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.677,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.689,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.701,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.712,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.722,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.733,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.743,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.756,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.766,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.777,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.789,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.799,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.811,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.821,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.833,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.844,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.855,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.866,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.876,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.889,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.899,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.911,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.921,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.933,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.943,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.955,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.966,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.976,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:39.988,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.001,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.011,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.021,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.034,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.044,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.055,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.067,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.077,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.088,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.099,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.109,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.122,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.133,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.143,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.155,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.167,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.177,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.189,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.200,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.210,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.222,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.232,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.243,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.255,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.266,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.276,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.288,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.299,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.311,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.322,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.333,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.343,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.355,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.365,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.376,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.388,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.399,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.410,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.421,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.432,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.443,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.455,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.466,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.477,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.488,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.499,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.510,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.520,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.532,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.544,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.554,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.566,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.577,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.588,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.599,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.610,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.622,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.632,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.643,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.654,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.665,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.677,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.689,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.698,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.710,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.721,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.734,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.743,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.754,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.766,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.777,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.789,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.799,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.810,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.821,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.833,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.843,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.854,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.865,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.877,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.888,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.898,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.909,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.920,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.933,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.944,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.954,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.966,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.977,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.988,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:40.999,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:41.009,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:41.021,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:41.033,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:41.042,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:41.054,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:41.067,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:41.076,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:41.089,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:41.098,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:41.110,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
17:04:41.121,EyeTracking,SettingUI,Dwell_Start,Button: Intro-Next-UI,Dwell_Started
